Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,6835.2024114139895
"New York, United States Of America - Warsaw, Poland",WAW,JFK,52.2,20.98,40.64,-73.79,6849.348954803629
"Fort De France, Martinique - Paris, France",FDF,ORY,14.6,-61.01,48.73,2.37,6852.906916342984
"New York, United States Of America - Warsaw, Poland",JFK,WAW,40.6,-73.79,52.17,20.98,6854.253107659081
"Bombay, India - Brussels, Belgium",BOM,BRU,19.1,72.86,50.89,4.48,6866.942089218106
"Bombay, India - Brussels, Belgium",BOM,BRU,19.1,72.86,50.89,4.48,6866.942089218106
"Milan, Italy - New York, United States Of America",LIN,JFK,41.9,12.5,40.64,-73.79,6881.541400506938
"New York, United States Of America - Rome, Italy",JFK,FCO,40.6,-73.79,41.9,12.5,6883.94046330352
"New York, United States Of America - Rome, Italy",JFK,FCO,40.6,-73.79,41.9,12.5,6883.94046330352
"Jakarta-soekarno, Indonesia - London, United Kingdom",LHR,CGK,25.3,51.56,-6.13,106.66,6902.003710412099
"Newark, United States Of America - Rome, Italy",FCO,EWR,41.9,12.5,40.69,-74.18,6906.228869108375
"Manila, Philippines - Newcastle, United Kingdom",NCL,MNL,25.3,55.35,14.51,121.02,6909.260908276292
"Manchester, United Kingdom - Manila, Philippines",MAN,MNL,25.3,55.35,14.51,121.02,6909.260908276292
"Dubai, United Arab Emirates - Manila, Philippines",MNL,DXB,14.5,121.02,25.25,55.35,6910.017162595339
"Brisbane, Australia - Hong Kong, Hong Kong",HKG,BNE,22.3,113.94,-27.4,153.11,6948.639310027457
"Bombay, India - Johannesburg, South Africa",JNB,BOM,-26.1,28.23,19.09,72.86,6963.995783063402
"Bombay, India - Johannesburg, South Africa",JNB,BOM,-26.1,28.23,19.09,72.86,6963.995783063402
"Bombay, India - Johannesburg, South Africa",BOM,JNB,19.1,72.86,-26.13,28.23,6966.99482497453
"London, United Kingdom - Nassau, Bahamas",LHR,NAS,51.5,-0.45,25.08,-77.34,6967.139007349481
"Abu Dhabi, United Arab Emirates - Manila, Philippines",MNL,AUH,14.5,121.02,24.42,54.64,6987.963088658118
"London, United Kingdom - Orlando-intl, United States Of America",LGW,MCO,51.2,-0.16,28.44,-81.31,6993.683611225731
"Calgary, Canada - London, United Kingdom",LHR,YYC,51.5,-0.45,51.13,-114.01,7013.380469316538
"Calgary, Canada - London, United Kingdom",LHR,YYC,51.5,-0.45,51.13,-114.01,7013.380469316538
"Calgary, Canada - London, United Kingdom",LHR,YYC,51.5,-0.45,51.13,-114.01,7013.380469316538
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7029.22774201642
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7029.22774201642
"Chicago, United States Of America - Manchester, United Kingdom",MAN,ORD,51.5,-0.45,41.6,-98.93,7029.22774201642
"Chicago, United States Of America - London, United Kingdom",LHR,ORD,51.5,-0.45,41.6,-98.93,7029.22774201642
"London, United Kingdom - Tampa, United States Of America",TPA,LGW,28.0,-82.54,51.16,-0.16,7113.550166943802
"Las Vegas, United States Of America - London, United Kingdom",LHR,LAS,51.5,-0.45,32.02,-87.96,7122.181628431529
"Las Vegas, United States Of America - London, United Kingdom",LAS,LHR,32.0,-87.96,51.47,-0.45,7124.905759945604
"Las Vegas, United States Of America - London, United Kingdom",LAS,LGW,32.0,-87.96,51.16,-0.16,7155.530599170961
"Beijing, China - Copenhagen, Denmark",CPH,PEK,55.6,12.64,40.07,116.58,7199.16309974191
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.985158715285
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.985158715285
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.985158715285
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.985158715285
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7212.985158715285
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7213.853648462287
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7213.853648462287
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7213.853648462287
"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,7213.853648462287
"Lisbon, Portugal - Sao Paulo, Brazil",SAO,LIS,-14.2,-51.41,38.77,-9.13,7349.009094076554
"Amsterdam, Netherlands - Dar Es Salaam, United Rep. Of Tanzania",DAR,AMS,-6.9,39.2,52.31,4.75,7350.182106271687
"Chicago, United States Of America - Paris, France",CDG,ORD,49.0,2.54,41.6,-98.93,7363.637401946131
"Hong Kong, Hong Kong - Sydney, Australia",HKG,SYD,22.3,113.94,-33.92,151.23,7394.62022408599
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Sydney, Australia",SYD,HKG,-33.9,151.23,22.32,113.94,7394.7199494311
"Hong Kong, Hong Kong - Melbourne, Australia",HKG,MEL,22.3,113.94,-37.67,144.85,7412.804824230555
